y,kappa_y,r_ab_y
-2.2,-0.3557905656564378,0.700619338622053
-2.19,-0.3557625351627671,0.7006389776032336
-2.1799999999999997,-0.35573361763431,0.7006592386437548
-2.17,-0.3557037850903925,0.7006801414030525
-2.16,-0.3556730086735008,0.7007017061590333
-2.15,-0.3556412586221757,0.7007239538273479
-2.1399999999999997,-0.3556085042430938,0.700746905981253
-2.13,-0.3555747138823111,0.7007705848720804
-2.12,-0.3555398548956476,0.7007950134503279
-2.11,-0.3555038936181869,0.7008202153873938
-2.0999999999999996,-0.3554667953328681,0.7008462150979708
-2.09,-0.355428524238143,0.7008730377631197
-2.08,-0.35538904341467487,0.7009007093540423
-2.0700000000000003,-0.3553483147910519,0.7009292566565728
-2.06,-0.35530629910848777,0.7009587072964104
-2.05,-0.3552629558844835,0.7009890897651109
-2.04,-0.3552182433754218,0.7010204334468612
-2.0300000000000002,-0.3551721185380653,0.7010527686460597
-2.02,-0.3551245369899306,0.7010861266157217
-2.01,-0.3550754529685082,0.7011205395867359
-2.0,-0.35502481928929724,0.7011560407979965
-1.9899999999999998,-0.3549725873026264,0.7011926645274303
-1.98,-0.3549187068492279,0.7012304461239505
-1.9699999999999998,-0.35486312621453375,0.7012694220403559
-1.96,-0.3548057920816626,0.7013096298672071
-1.9500000000000002,-0.3547466494830624,0.7013511083677019
-1.94,-0.3546856417507792,0.7013938975135787
-1.9300000000000002,-0.35462271046531396,0.7014380385220774
-1.92,-0.3545577954030376,0.7014835738939809
-1.9100000000000001,-0.3544908344821259,0.701530547452772
-1.9,-0.3544217637069829,0.7015790043849308
-1.8900000000000001,-0.3543505171111142,0.7016289912814031
-1.88,-0.35427702669841665,0.7016805561802726
-1.87,-0.35420122238284785,0.7017337486106642
-1.8599999999999999,-0.35412303192643896,0.701788619637913
-1.85,-0.3540423808756147,0.701845221910029
-1.8399999999999999,-0.3539591924957838,0.701903609705491
-1.83,-0.3538733877041631,0.701963838982403
-1.8199999999999998,-0.35378488500079935,0.7020259674290438
-1.81,-0.35369360039775005,0.7020900545158484
-1.7999999999999998,-0.3535994473463888,0.7021561615488521
-1.79,-0.3535023366627973,0.7022243517246318
-1.7799999999999998,-0.3534021764512082,0.7022946901867824
-1.77,-0.3532988720254624,0.7023672440839612
-1.7599999999999998,-0.35319232582844595,0.7024420826295378
-1.75,-0.353082437349471,0.7025192771628831
